,SOA-2007,PA-2008,SOA-2008,PA-2009,RTC-2009,SP-2009,SOA-2009,PA-2010,SP-2010,SOA-2010,SP-2011,SOA-2011,PA-2012,PUBA-2012,RTC-2012,SP-2012,SOA-2012,PA-2013,SP-2013,SOA-2013,SOA-2014,PA-2015,SOA-2015,USPSTF-2016,IPA-2016,PA-2016,SOA-2016,RTC-2017,SP-2017,SOA-2017,PA-2018,RTC-2018,SOA-2018,SP-2019,SOA-2019,PA-2020,SOA-2020,RTC-2021,SOA-2021,PA-2022,RTC-2022,SOA-2022,RTC-2023,SP-2023,SOA-2023,SP-2026-DRAFT
SOA-2007,0.0,1.4867214159910094,0.6588452404641338,1.3863814103530743,1.2136658198401815,1.2405448489037685,0.8669718652461772,1.2650784697670074,1.2485192739979798,0.6602997269194683,1.0106945408736223,0.7403200800498131,1.2491649189033305,1.0272017868090884,1.2311957721779727,0.9145470960331412,0.722570945025111,1.3149812187418588,1.145252131135778,0.6644730505012089,0.8153540548945368,1.3434987786880994,0.8576426939239048,1.2975104717609756,1.2651670881474346,1.328053008335304,0.8086596372678846,1.455268288106166,1.1001235498767612,0.7632835342921918,1.2935845536657562,1.1502603817931634,0.8440193670531133,1.262590897298547,0.9293309001196199,1.3387790605296273,0.9657638276076623,1.2913200049597955,0.9789335636467342,1.326125231162881,1.3425002602986997,1.0787951010493437,1.3206847664963264,1.288051992241477,0.9404592648628157,1.4170394625643643
PA-2008,1.4867214159910094,0.0,1.4036437497453615,1.0737200146693593,1.5509721953154918,1.5025758813055443,1.5363784104249205,1.2060890403355542,1.519218656246811,1.3075067804616864,1.3835936723106685,1.3809778610527392,1.229932948646647,1.2345004981828795,1.5395917064021294,1.3278856149631502,1.3929521796917212,1.1687667547364493,1.4409968750374114,1.433925950614354,1.4091396830023262,1.170664686124457,1.4299501504526702,1.6816055049396998,1.123568216473577,1.117196178753308,1.492556927159155,1.675332069265459,1.5779395776285816,1.407757803152901,1.188623647217674,1.5006585203454639,1.4697854131740842,1.3063450320861316,1.5617619321859948,1.2303114991159099,1.5569856453109672,1.6835707580608463,1.5371226469915944,1.2187963519777714,1.7707852592065807,1.5576718830918894,1.5784805946469536,1.6824737561039167,1.5473057183125867,1.522530200847041
SOA-2008,0.6588452404641338,1.4036437497453615,0.0,1.3396770406396206,1.225261515782968,1.2081400378435787,0.7061847126687921,1.2281062863735606,1.204237976546497,0.6321789041979031,0.9386958580984015,0.6223539349236933,1.2112530047574437,1.0226379993222658,1.2225618524147057,0.8829563737320933,0.776141704182568,1.2746865371471208,1.1106692658682462,0.7046737564147003,0.7419111293502874,1.3008934689304423,0.8480637202533584,1.2805865233345535,1.1616253516872528,1.29279385551682,0.8312239151010223,1.4273597154297402,1.104471202777799,0.7463830914646793,1.2873450786607668,1.1347492093530103,0.8188802422719971,1.164092140230432,0.915999496146276,1.3093996196730429,0.9217301132787512,1.3163509382085392,0.8750697495752483,1.2818876905568317,1.390842859074044,0.9376648841761075,1.274946863576481,1.2366083775488754,0.9369645002803637,1.3650228088773944
PA-2009,1.3863814103530743,1.0737200146693593,1.3396770406396206,0.0,1.3809543536569573,1.1773760859923923,1.5050423468942784,0.5713701559843951,1.0908751368564613,1.2188908021692721,1.0236724193208122,1.2326481028601106,0.837224794997555,1.1263989795080505,1.384310665178714,1.0774211725722322,1.1776286694381082,0.6639907295882476,1.0620468105459007,1.2706225688875217,1.2843706504790309,0.7194124796996244,1.2845603952940021,1.4622497953086775,1.072815935849072,0.8312506481626234,1.322665169694929,1.5063424866713984,1.2327774410851193,1.2851872343609407,0.8302583952714867,1.2801153999965365,1.2433664425074322,1.1593922838958606,1.3121803491230577,0.931595388719445,1.3680714346696359,1.4103176161744642,1.3774951613406425,0.9282710907089898,1.5330029689779208,1.3792568854002338,1.3407720841786648,1.3820205942730288,1.3030852706245952,1.3724921530485532
RTC-2009,1.2136658198401815,1.5509721953154918,1.225261515782968,1.3809543536569573,0.0,1.2366830444927144,1.2917030945370065,1.222263752422448,1.2541438718218605,1.0560059611272543,1.0463699417891021,1.0755073433919498,1.1627751247976428,1.2603197335685579,0.41950716924917936,1.0153338154320217,1.1015622399873974,1.2079437453860664,1.0910811610887654,1.132546840178099,1.1088001850601914,1.2311680569255332,1.2048451225664822,1.3972768746158846,1.0139784758283916,1.1365236573088098,1.2000100984352333,0.9940512285153801,1.068624134633308,1.1728823099854855,1.1581276217979837,0.5655737808219211,1.1998972768293834,0.8440578438266104,1.1406999410273915,1.1753428338628298,1.0393946156345248,0.780195408106054,1.1702230204828337,1.1464886740618223,0.9949037282848504,1.203166625930348,0.6748807217782692,1.168373477867822,1.1533757885470275,1.4086038803256358
SP-2009,1.2405448489037685,1.5025758813055443,1.2081400378435787,1.1773760859923923,1.2366830444927144,0.0,1.206690152826657,1.0415676671514609,0.3534483279532916,1.1153482669575119,0.5232663299545129,1.1077865327697707,1.0990940590361171,1.2003988288678784,1.2539601791828707,0.8349618596592654,1.053818468279058,1.1505453896776185,0.8612502635191731,1.0949235692076205,1.0369896662618883,1.2191450924630083,1.0696011359703776,1.348385898570939,1.207351132247839,1.2001447059778603,1.1273204567136352,1.4182911638632807,0.7268564403657612,1.0249642114639321,1.1961309726891627,1.1142278529568288,1.0532949366236675,1.0938932563626866,1.1317920834979671,1.215732870107764,1.2358170430062507,1.280056587945185,1.2751685721848551,1.2682916179446426,1.241009722575693,1.260594381213682,1.265524446432931,0.9471859548536177,1.2280265305827343,1.3239533042402611
SOA-2009,0.8669718652461772,1.5363784104249205,0.7061847126687921,1.5050423468942784,1.2917030945370065,1.206690152826657,0.0,1.3539721712309425,1.1946664602172494,0.7575436881014028,1.0673322005186718,0.7439268181516687,1.2235773526110618,1.0133252848322882,1.3457038757671058,0.8886418237907028,0.8683516991752075,1.3591710350552944,1.0544728985882839,0.7637559653232809,0.7256003312502709,1.3892262650737754,0.9231116489914438,1.3447407097415225,1.2981289652887396,1.3503158769329093,0.8554277211880538,1.5277831322777387,1.0549039077835647,0.7528616972804328,1.3298300575690265,1.2874127667208972,0.8313158921797255,1.2576466930803745,0.9487202992783821,1.3936972597582487,1.084112101196835,1.470010851548054,1.0547971558891147,1.3720948332872696,1.4715387160086957,1.1068006961506072,1.4030088297828216,1.1664597681250908,1.125090980587936,1.5144554191300827
PA-2010,1.2650784697670074,1.2060890403355542,1.2281062863735606,0.5713701559843951,1.222263752422448,1.0415676671514609,1.3539721712309425,0.0,0.9388048418381707,1.1599580826083713,0.8227279312793876,1.0907309852367628,0.6316464837709893,0.9742835369207671,1.1745305078431683,0.8648082637994149,1.0741382629640202,0.508962448098246,0.8201367408994635,1.0866456868087515,1.1054147101551224,0.6100668111102441,1.156372189149866,1.4295715736424812,0.9738141460944394,0.6061740923084906,1.1750891150294474,1.3115448080915195,0.9840944641820257,1.1686800036456355,0.5934521946281741,1.0642902364513103,1.0884380357955086,0.9896663829493292,1.1683527799224926,0.7223631835719652,1.2362999648870114,1.2227854670794436,1.2176866457396383,0.7231469576930235,1.2578872675319712,1.2347490341692329,1.1793800009561726,1.1511604118901246,1.144008454302533,1.293568140189731
SP-2010,1.2485192739979798,1.519218656246811,1.204237976546497,1.0908751368564613,1.2541438718218605,0.3534483279532916,1.1946664602172494,0.9388048418381707,0.0,1.1419575339983488,0.5015381308802739,1.1068080340161648,1.0370030421962588,1.2233396432868282,1.2784142518121762,0.8094696172890012,1.0782586272981154,1.0821987023869735,0.8045123750011984,1.0971520085424258,1.0272644554461687,1.1640722768077612,1.1055062165401504,1.393096689691296,1.1985205488531012,1.1293487564156486,1.1056870638226821,1.3704388400605598,0.6691541446750875,1.0772604047746004,1.1098242551802993,1.1097021892542687,1.092941283354545,1.0600050652741009,1.146642114972697,1.1682380382672273,1.2253272004742444,1.2426089624732544,1.251696394641074,1.2387337106804361,1.2178968461513844,1.2825436712317608,1.2207382004656842,0.8845449919062893,1.238552263474653,1.337799756497591
SOA-2010,0.6602997269194683,1.3075067804616864,0.6321789041979031,1.2188908021692721,1.0560059611272543,1.1153482669575119,0.7575436881014028,1.1599580826083713,1.1419575339983488,0.0,0.8850076604668367,0.5964809452345786,1.1096949643957061,1.0093589417640219,1.0930015649184661,0.7709080299535268,0.6303321294372917,1.1559180497932708,0.9468995305072474,0.585000266489244,0.6916513272289107,1.1956325194365298,0.688907200559524,1.1977038539775482,1.1370403133444447,1.1943505156461744,0.6937529631380818,1.3708555481434335,0.962252394214993,0.6077547911459068,1.1965913487528403,0.9816026039384591,0.6727409784404751,1.0782834740501845,0.7197529449960562,1.2363832726471509,0.8156616963025849,1.2094238964438513,0.8717474621210755,1.214380705500857,1.2763249369891367,0.8867643803966248,1.1478142451127937,1.158391887899183,0.8352188708522684,1.2975314012052208
